suburb,council_area,frequency,frequency_order
sherbrooke,yarra ranges,6,1
silvan,yarra ranges,2,1
smiths gully,nillumbik,5,1
somerton vic 3062,hume,1,1
south kingsville,hobsons bay,11,1
south melbourne,port phillip,278,1
"south melbourne, melbourne",port phillip,1,1
south morang,whittlesea,11,1
south wharf,melbourne,8,1
south yarra,stonnington,790,1
south yarra vic 3141,stonnington,1,1
"south yarra, victoria, au",stonnington,1,1
southbank,melbourne,1190,1
southbank melbourne,melbourne,1,1
"southbank, melbourne",melbourne,1,1
"southbank, victoria, au",melbourne,2,1
spotswood,hobsons bay,12,1
springvale,greater dandenong,20,1
springvale south,greater dandenong,10,1
st andrews,nillumbik,1,1
st kilda,port phillip,199,1
st kilda / elwood,port phillip,1,1
st kilda east,port phillip,30,1
st kilda west,port phillip,19,1
st kilda west melbourne,port phillip,1,1
st. andrews,nillumbik,1,1
st. kilda,port phillip,4,1
st. kilda west,port phillip,1,1
st.kilda east,port phillip,1,1
steels creek,yarra ranges,6,1
stkilda east,glen eira,1,1
strathewen,nillumbik,1,1
strathmore,moonee valley,5,1
strathtulloh,melton,3,1
strthtulloch,melton,1,1
sunbury,hume,24,1
sunshine,brimbank,25,1
sunshine north,brimbank,8,1
sunshine west,brimbank,8,1
surrey hills,whitehorse,22,1
"surrey hills, victoria, au",boroondara,1,1
sydenham,brimbank,3,1
tarneit,wyndham,43,1
tarrawarra,yarra ranges,5,1
taylors hill,melton,4,1
tecoma,yarra ranges,7,1
templestowe,manningham,23,1
templestowe lower,manningham,17,1
the basin,knox,7,1
the patch,yarra ranges,16,1
thomastown,whittlesea,12,1
thornbury,darebin,113,1
"thornbury, victoria, au",darebin,1,1
tonimbuk,cardinia,4,1
toolangi,yarra ranges,2,1
toolern vale,melton,14,1
tooradin,casey,1,1
toorak,stonnington,116,1
"toorak, melbourne.",stonnington,1,1
travancore,moonee valley,36,1
tremont,yarra ranges,1,1
truganina,wyndham,45,1
"truganina, victoria, au",wyndham,1,1
tullamarine,hume,16,1
upper ferntree gully,yarra ranges,2,1
upwey,yarra ranges,15,1
vermont,whitehorse,14,1
vermont south,whitehorse,28,1
vic,melbourne,4,1
victoria,melbourne,7,1
viewbank,banyule,8,1
wandin east,yarra ranges,3,1
wandin north,yarra ranges,7,1
wantirna,knox,18,1
wantirna south,knox,30,1
wantirna south vic 3152,knox,1,1
warburton,yarra ranges,70,1
warneet,casey,4,1
warrandyte,manningham,25,1
warrandyte south,manningham,1,1
warranwood,maroondah,3,1
waterways,kingston,2,1
watsonia,banyule,2,1
watsonia north,banyule,1,1
watsons creek,nillumbik,1,1
wattle glen,nillumbik,1,1
werribee,wyndham,56,1
werribee south,wyndham,5,1
wesburn,yarra ranges,1,1
"wesburn,10minutes to warburton",yarra ranges,1,1
west footscray,maribyrnong,38,1
west melbourne,melbourne,263,1
west melbourne - flagstaff,melbourne,1,1
westmeadows,hume,20,1
wheelers,kingston,1,1
wheelers hill,monash,13,1
wheelers hill vic 3150,monash,2,1
whitehorse city,whitehorse,1,1
whittlesea,whittlesea,2,1
williams landing,wyndham,39,1
williamstown,hobsons bay,74,1
williamstown north,hobsons bay,1,1
windsor,stonnington,169,1
wollert,whittlesea,6,1
wonga park,manningham,6,1
woori yallock,yarra ranges,1,1
wyndham city,wyndham,1,1
wyndham vale,wyndham,15,1
yarra glen,yarra ranges,18,1
"yarra glen, victoria, au",yarra ranges,1,1
yarra junction,yarra ranges,13,1
yarra ranges shire,yarra ranges,1,1
"yarra valley, yarra glen, healesville",yarra ranges,1,1
yarraville,maribyrnong,82,1
yellingbo,yarra ranges,3,1
"yellingbo, yarra valley",yarra ranges,1,1
yering,yarra ranges,2,1
yuroke,hume,1,1
墨尔本,manningham,3,1
墨爾本 melbourne,melbourne,1,1
芒特韦弗利区,monash,1,1
